No.,Name,Gcorr[au],Hcorr[au],Ucorr[au],ZPE[au],TS[au],SPE[au]
177,PreSm_FDLXTVHNGIGIMS-UHFFFAOYSA-N,None,None,None,None,None,-1118.927321028323
178,PreSm_SJPGAFQQHQTLDG-UHFFFAOYSA-N,None,None,None,None,None,-533.49976621599
179,PreSm_LEXOGXRYFLTPFQ-UHFFFAOYSA-N,None,None,None,None,None,-516.243226055512
180,XUPYJHCZDLZNFP-UHFFFAOYSA-N,None,None,None,None,None,-463.375024480672
181,QWTDNUCVQCZILF-UHFFFAOYSA-N,None,None,None,None,None,-196.627032238862
182,PreSm_RMURYMQQIOBLTI-UHFFFAOYSA-N,None,None,None,None,None,-747.814775023702
183,XWUSALIIUZARQE-UHFFFAOYSA-N,None,None,None,None,None,-514.740862020282
184,PreTS_UXIXHYKPQBYEJZ-UHFFFAOYSA-N,None,None,None,None,None,-442.244563946129
185,FERIUCNNQQJTOY-UHFFFAOYSA-N,None,None,None,None,None,-306.505312587117
186,PreSm_DOCYWJFLIOXXRE-UHFFFAOYSA-N,None,None,None,None,None,-555.447346777916
187,PreTS_JALAUJQDMDYEDM-UHFFFAOYSA-N,None,None,None,None,None,-535.29778525381
188,PreTS_PGAHWRPCFHBSGZ-UHFFFAOYSA-N,None,None,None,None,None,-670.74347857368
189,DNSISZSEWVHGLH-UHFFFAOYSA-N,None,None,None,None,None,-286.637594688618
190,PreTS_HIYWUJCGKLFTON-UHFFFAOYSA-N,None,None,None,None,None,-1189.188576514614
191,PreTS_STCOCKRYHSNABS-UHFFFAOYSA-N,None,None,None,None,None,-724.394079603403
192,PreSm_JFQWDJUUOXFUHD-UHFFFAOYSA-N,None,None,None,None,None,-288.694141370479
193,WIHMGGWNMISDNJ-UHFFFAOYSA-N,None,None,None,None,None,-1036.433725406801
194,LGXVIGDEPROXKC-UHFFFAOYSA-N,None,None,None,None,None,-996.643760691792
195,PreTS_HYORNCICFVQNNC-UHFFFAOYSA-N,None,None,None,None,None,-766.685951450217
196,PreTS_VLBUXUITYHBCMC-UHFFFAOYSA-N,None,None,None,None,None,-763.631420285959
197,PreTS_ZJTRSSFWRQZLIT-UHFFFAOYSA-N,None,None,None,None,None,-886.281038725913
198,PreSm_QTLQRSOLNXSEBX-UHFFFAOYSA-N,None,None,None,None,None,-1114.836851539705
199,PreSm_DGBKSXOTGZAENT-UHFFFAOYSA-N,None,None,None,None,None,-577.668603740745
200,PreTS_DMVYNWPKXDTJCR-UHFFFAOYSA-N,None,None,None,None,None,-883.249295241018
201,VQTUBCCKSQIDNK-UHFFFAOYSA-N,None,None,None,None,None,-156.851227732212
202,PreSm_ORKVVBBGBFTEOR-UHFFFAOYSA-N,None,None,None,None,None,-724.418448760285
203,PreSm_QJRAGCNZXNHVGJ-UHFFFAOYSA-N,None,None,None,None,None,-763.643155031568
204,PreSm_SUETYVLILIXRJL-UHFFFAOYSA-N,None,None,None,None,None,-424.102448430525
205,PreTS_NAKOQLYUZUIIKF-UHFFFAOYSA-N,None,None,None,None,None,-651.672981249915
206,PreSm_GQDRRQBCTAZFEJ-UHFFFAOYSA-N,None,None,None,None,None,-651.641814069404
207,PreSm_OUXRBAJJWASHKN-UHFFFAOYSA-N,None,None,None,None,None,-965.424839455882
208,PreTS_YKKLLVSGGUWYGJ-UHFFFAOYSA-N,None,None,None,None,None,-808.089083112643
209,PreTS_IOCTVKGDHOEXDG-UHFFFAOYSA-N,None,None,None,None,None,-724.404314636305
210,HCRBXQFHJMCTLF-UHFFFAOYSA-N,None,None,None,None,None,-424.16205923942
211,PreTS_RSJUWEPQTLPWEN-UHFFFAOYSA-N,None,None,None,None,None,-516.204809151065
212,BFKJFAAPBSQJPD-UHFFFAOYSA-N,None,None,None,None,None,-474.923256738307
213,PreTS_PAFIDFZXBGPBEA-UHFFFAOYSA-N,None,None,None,None,None,-732.934494935674
214,DFATXMYLKPCSCX-UHFFFAOYSA-N,None,None,None,None,None,-418.482630319114
215,PreSm_CPWZUGVKPAXLKC-UHFFFAOYSA-N,None,None,None,None,None,-886.972579967321
216,YGZQJYIITOMTMD-UHFFFAOYSA-N,None,None,None,None,None,-350.180629882808
217,PreSm_SPISJILQRFQGIT-UHFFFAOYSA-N,None,None,None,None,None,-1345.418313948473
218,XHLXMRJWRKQMCP-UHFFFAOYSA-N,None,None,None,None,None,-651.67774897055
219,HRPVXLWXLXDGHG-UHFFFAOYSA-N,None,None,None,None,None,-246.852636979287
220,PreSm_DQTMTWJQRKLULM-UHFFFAOYSA-N,None,None,None,None,None,-670.734637438164
221,PreSm_RHOQNDIOGWKCJW-UHFFFAOYSA-N,None,None,None,None,None,-883.231418908758
222,PreSm_ABNVMMWEVPGMRK-UHFFFAOYSA-N,None,None,None,None,None,-501.351300594944
223,PreTS_JENUJYSSLPMKAD-UHFFFAOYSA-N,None,None,None,None,None,-769.309504747732
224,PreSm_RWOQNRCHLBNNAC-UHFFFAOYSA-N,None,None,None,None,None,-365.932063354573
225,PreTS_CGNAVWMVTBCGGD-UHFFFAOYSA-N,None,None,None,None,None,-654.680274369605
226,PreTS_DABGEJNAXINAFN-UHFFFAOYSA-N,None,None,None,None,None,-1206.932014148593
227,KGIGUEBEKRSTEW-UHFFFAOYSA-N,None,None,None,None,None,-325.019601750063
228,KAKZBPTYRLMSJV-UHFFFAOYSA-N,None,None,None,None,None,-155.636337474
229,PreTS_DQBHNQIJAJWZOX-UHFFFAOYSA-N,None,None,None,None,None,-922.448174563059
230,PreSm_ANVBQVNHVQKZIH-UHFFFAOYSA-N,None,None,None,None,None,-1206.940377943576
231,PreTS_KPXULDNHZPFQCO-UHFFFAOYSA-N,None,None,None,None,None,-797.169444350349
232,PreTS_BFRVGSWNBDDCGM-UHFFFAOYSA-N,None,None,None,None,None,-730.05978589345
233,PreSm_ZKGKGSZVHGWIKZ-UHFFFAOYSA-N,None,None,None,None,None,-654.7009293644
234,HXGDTGSAIMULJN-UHFFFAOYSA-N,None,None,None,None,None,-461.133519785056
235,PreTS_YDSOAHBTIMGZFT-UHFFFAOYSA-N,None,None,None,None,None,-504.392266391505
236,PreTS_UKCAWOPUYLQZHE-UHFFFAOYSA-N,None,None,None,None,None,-886.28060398513
237,PreTS_IUVKJVZQHNYEAZ-UHFFFAOYSA-N,None,None,None,None,None,-996.809809307479
238,PreTS_QYCKOLHHORCVDM-UHFFFAOYSA-N,None,None,None,None,None,-615.477942739352
239,ODLMAHJVESYWTB-UHFFFAOYSA-N,None,None,None,None,None,-348.766647922945
240,OTKQNSSMCDLVQV-UHFFFAOYSA-N,None,None,None,None,None,-502.602892289175
241,PreTS_NYMCAJNZSOKJMY-UHFFFAOYSA-N,None,None,None,None,None,-670.720933903072
242,PreTS_PBZJLLZIMBIKOO-UHFFFAOYSA-N,None,None,None,None,None,-540.562696582272
243,PreTS_ORKVVBBGBFTEOR-UHFFFAOYSA-N,None,None,None,None,None,-724.402030560891
244,PreSm_ZRBGYWKZMWPOEK-UHFFFAOYSA-N,None,None,None,None,None,-573.229610160626
245,PreTS_NKBJUIGJMCGFAH-UHFFFAOYSA-N,None,None,None,None,None,-1267.215405362326
246,PreTS_USNXCDFKELLKCT-UHFFFAOYSA-N,None,None,None,None,None,-457.134214810552
247,SNMVRZFUUCLYTO-UHFFFAOYSA-N,None,None,None,None,None,-577.307624331048
248,PreSm_QLLLTQFPEFMDHX-UHFFFAOYSA-N,None,None,None,None,None,-696.985171273585
249,PreSm_JENUJYSSLPMKAD-UHFFFAOYSA-N,None,None,None,None,None,-769.327352741753
250,PreTS_AHPNQRDUZRCXIO-UHFFFAOYSA-N,None,None,None,None,None,-730.075723135582
251,PreTS_ZMIKKNQULOZVJN-UHFFFAOYSA-N,None,None,None,None,None,-822.17521069751
252,PreSm_RYGJTDZNQQMTAD-UHFFFAOYSA-N,None,None,None,None,None,-615.493180259358
253,PreTS_SMUNBMVPYRPETG-UHFFFAOYSA-N,None,None,None,None,None,-693.898484989384
254,PreSm_CGNAVWMVTBCGGD-UHFFFAOYSA-N,None,None,None,None,None,-654.69748641064
255,PreTS_PLHTVEWPTJUOJO-UHFFFAOYSA-N,None,None,None,None,None,-654.682451781572
256,PreSm_KSQBLBGLMABEDG-UHFFFAOYSA-N,None,None,None,None,None,-558.502752914638
257,PreSm_CWCZUMMGJWIHPO-UHFFFAOYSA-N,None,None,None,None,None,-612.425592112679
258,PreTS_PEOAVTPXOTWVGT-UHFFFAOYSA-N,None,None,None,None,None,-846.057873062604
259,PreTS_WAYSWJBQEIKOLM-UHFFFAOYSA-N,None,None,None,None,None,-957.586211945871
260,PreSm_VTNIVRPCDMVLBS-UHFFFAOYSA-N,None,None,None,None,None,-580.726560133266
261,PreTS_HOFHXCWTIVVYNS-UHFFFAOYSA-N,None,None,None,None,None,-1189.190250432288
262,PreSm_LLSLAEIOMBGCPF-UHFFFAOYSA-N,None,None,None,None,None,-541.771081422089
263,PreSm_DQBHNQIJAJWZOX-UHFFFAOYSA-N,None,None,None,None,None,-922.469246523736
